#0		1		2	3		4
#1		2		3	4		5
#STAND	ROACH	ADC	ADCST	LEDAST
1	1	1	1	1
2	1	1	2	2
3	1	1	3	3
4	1	1	4	4
5	1	1	5	5
6	1	1	6	6
7	1	1	7	7
8	1	1	8	8
9	1	2	1	9
10	1	2	2	10
11	1	2	3	11
12	1	2	4	12
13	1	2	5	13
14	1	2	6	14
15	1	2	7	15
16	1	2	8	16
17	2	1	1	17
18	2	1	2	18
19	2	1	3	19
20	2	1	4	20
21	2	1	5	21
22	2	1	6	22
23	2	1	7	23
24	2	1	8	24
25	2	2	1	25
26	2	2	2	26
27	2	2	3	27
28	2	2	4	28
29	2	2	5	29
30	2	2	6	30
31	2	2	7	31
32	2	2	8	32
33	3	1	1	33
34	3	1	2	34
35	3	1	3	35
36	3	1	4	36
37	3	1	5	37
38	3	1	6	38
39	3	1	7	39
40	3	1	8	40
41	3	2	1	41
42	3	2	2	42
43	3	2	3	43
44	3	2	4	44
45	3	2	5	45
46	3	2	6	46
47	3	2	7	47
48	3	2	8	48
49	4	1	1	49
50	4	1	2	50
51	4	1	3	51
52	4	1	4	52
53	4	1	5	53
54	4	1	6	54
55	4	1	7	55
56	4	1	8	56
57	4	2	1	57
58	4	2	2	58
59	4	2	3	59
60	4	2	4	60
61	4	2	5	61
62	4	2	6	62
63	4	2	7	63
64	4	2	8	64
65	5	1	1	65
66	5	1	2	66
67	5	1	3	67
68	5	1	4	68
69	5	1	5	69
70	5	1	6	70
71	5	1	7	71
72	5	1	8	72
73	5	2	1	73
74	5	2	2	74
75	5	2	3	75
76	5	2	4	76
77	5	2	5	77
78	5	2	6	78
79	5	2	7	79
80	5	2	8	80
81	6	1	1	81
82	6	1	2	82
83	6	1	3	83
84	6	1	4	84
85	6	1	5	85
86	6	1	6	86
87	6	1	7	87
88	6	1	8	88
89	6	2	1	89
90	6	2	2	90
91	6	2	3	91
92	6	2	4	92
93	6	2	5	93
94	6	2	6	94
95	6	2	7	95
96	6	2	8	96
97	7	1	1	97
98	7	1	2	98
99	7	1	3	99
100	7	1	4	100
101	7	1	5	101
102	7	1	6	102
103	7	1	7	103
104	7	1	8	104
105	7	2	1	105
106	7	2	2	106
107	7	2	3	107
108	7	2	4	108
109	7	2	5	109
110	7	2	6	110
111	7	2	7	111
112	7	2	8	112
113	8	1	1	113
114	8	1	2	114
115	8	1	3	115
116	8	1	4	116
117	8	1	5	117
118	8	1	6	118
119	8	1	7	119
120	8	1	8	120
121	8	2	1	121
122	8	2	2	122
123	8	2	3	123
124	8	2	4	124
125	8	2	5	125
126	8	2	6	126
127	8	2	7	127
128	8	2	8	128
129	9	1	1	129
130	9	1	2	130
131	9	1	3	131
132	9	1	4	132
133	9	1	5	133
134	9	1	6	134
135	9	1	7	135
136	9	1	8	136
137	9	2	1	137
138	9	2	2	138
139	9	2	3	139
140	9	2	4	140
141	9	2	5	141
142	9	2	6	142
143	9	2	7	143
144	9	2	8	144
145	10	1	1	145
146	10	1	2	146
147	10	1	3	147
148	10	1	4	148
149	10	1	5	149
150	10	1	6	150
151	10	1	7	151
152	10	1	8	152
153	10	2	1	153
154	10	2	2	154
155	10	2	3	155
156	10	2	4	156
157	10	2	5	157
158	10	2	6	158
159	10	2	7	159
160	10	2	8	160
161	11	1	1	161
162	11	1	2	162
163	11	1	3	163
164	11	1	4	164
165	11	1	5	165
166	11	1	6	166
167	11	1	7	167
168	11	1	8	168
169	11	2	1	169
170	11	2	2	170
171	11	2	3	171
172	11	2	4	172
173	11	2	5	173
174	11	2	6	174
175	11	2	7	175
176	11	2	8	176
177	12	1	1	177
178	12	1	2	178
179	12	1	3	179
180	12	1	4	180
181	12	1	5	181
182	12	1	6	182
183	12	1	7	183
184	12	1	8	184
185	12	2	1	185
186	12	2	2	186
187	12	2	3	187
188	12	2	4	188
189	12	2	5	189
190	12	2	6	190
191	12	2	7	191
192	12	2	8	192
193	13	1	1	193
194	13	1	2	194
195	13	1	3	195
196	13	1	4	196
197	13	1	5	197
198	13	1	6	198
199	13	1	7	199
200	13	1	8	200
201	13	2	1	201
202	13	2	2	202
203	13	2	3	203
204	13	2	4	204
205	13	2	5	205
206	13	2	6	206
207	13	2	7	207
208	13	2	8	208
209	14	1	1	209
210	14	1	2	210
211	14	1	3	211
212	14	1	4	212
213	14	1	5	213
214	14	1	6	214
215	14	1	7	215
216	14	1	8	216
217	14	2	1	217
218	14	2	2	218
219	14	2	3	219
220	14	2	4	220
221	14	2	5	221
222	14	2	6	222
223	14	2	7	223
224	14	2	8	224
225	15	1	1	225
226	15	1	2	226
227	15	1	3	227
228	15	1	4	228
229	15	1	5	229
230	15	1	6	230
231	15	1	7	231
232	15	1	8	232
233	15	2	1	233
234	15	2	2	234
235	15	2	3	235
236	15	2	4	236
237	15	2	5	237
238	15	2	6	238
239	15	2	7	239
240	15	2	8	240
241	16	1	1	241
242	16	1	2	242
243	16	1	3	243
244	16	1	4	244
245	16	1	5	245
246	16	1	6	246
247	16	1	7	247
248	16	1	8	248
249	16	2	1	249
250	16	2	2	250
251	16	2	3	251
252	16	2	4	252
253	16	2	5	253
254	16	2	6	254
255	16	2	7	255
256	16	2	8	256
