#0		1		2		3		4		5		6		7
#1		2		3		4		5		6		7		8
#STAND	POSX	POSY	POSZ	DLYB10	DLYB80	DLYG10	DLYG80
1	-54.595	-0.653	3.204	0	0	0	0
2	-49.298	0.55	3.075	0	0	0	0
3	-43.476	-2.34	2.802	0	0	0	0
4	-39.395	1.604	2.707	0	0	0	0
5	-31.597	-3.176	2.503	0	0	0	0
6	-26.034	1.885	2.298	0	0	0	0
7	-16.578	0.047	2.02	0	0	0	0
8	-10.796	0.386	1.817	0	0	0	0
9	-4.375	-0.759	1.683	0	0	0	0
10	0.875	1.887	1.536	0	0	0	0
11	5.662	-0.678	1.403	0	0	0	0
12	14.429	-1.338	1.052	0	0	0	0
13	19.819	-0.941	0.893	0	0	0	0
14	25.201	-0.218	0.683	0	0	0	0
15	29.751	1.768	0.511	0	0	0	0
16	35.45	2.643	0.284	0	0	0	0
17	42.261	-1.444	0.163	0	0	0	0
18	47.373	-1.004	0.142	0	0	0	0
19	53.401	-2.476	0.058	0	0	0	0
20	-51.405	7.905	3.153	0	0	0	0
21	-53.68	-8.825	3.148	0	0	0	0
22	-46.343	7.11	3.008	0	0	0	0
23	-49.085	-6.881	3.046	0	0	0	0
24	-41.284	6.204	2.759	0	0	0	0
25	-36.569	-3.054	2.66	0	0	0	0
26	-32.959	4.203	2.552	0	0	0	0
27	-32.186	-8.155	2.532	0	0	0	0
28	-26.062	6.964	2.364	0	0	0	0
29	-27.368	-6.762	2.394	0	0	0	0
30	-21.063	5.986	2.167	0	0	0	0
31	-21.789	-3.856	2.183	0	0	0	0
32	-13.821	4.505	1.962	0	0	0	0
33	-14.887	-4.929	1.995	0	0	0	0
34	-8.226	5.39	1.763	0	0	0	0
35	-9.953	-5.805	1.844	0	0	0	0
36	-3.499	4.34	1.591	0	0	0	0
37	-5.207	-7.935	1.738	0	0	0	0
38	0.991	7.086	1.434	0	0	0	0
39	2.81	-6.795	1.467	0	0	0	0
40	11.245	3.345	1.127	0	0	0	0
41	8.751	-4.704	1.328	0	0	0	0
42	15.42	6.985	1.006	0	0	0	0
43	16.536	-5.886	1.048	0	0	0	0
44	19.519	4.042	0.93	0	0	0	0
45	21.112	-7.739	0.829	0	0	0	0
46	25.539	4.926	0.706	0	0	0	0
47	25.474	-5.252	0.664	0	0	0	0
48	30.12	6.988	0.45	0	0	0	0
49	31.308	-4.715	0.406	0	0	0	0
50	37.069	7.595	0.215	0	0	0	0
51	38.483	-5.881	0.299	0	0	0	0
52	41.813	6.035	0.147	0	0	0	0
53	44.339	-6.039	0.157	0	0	0	0
54	54.707	5.269	-0.031	0	0	0	0
55	53.539	-7.524	-0.047	0	0	0	0
56	-51.997	13.01	3.181	0	0	0	0
57	-50.553	-12.82	3.058	0	0	0	0
58	-46.58	12.505	2.984	0	0	0	0
59	-45.061	-9.738	2.892	0	0	0	0
60	-38.298	10.251	2.769	0	0	0	0
61	-39.94	-10.361	2.641	0	0	0	0
62	-30.12	9.697	2.514	0	0	0	0
63	-30.479	-14.792	2.474	0	0	0	0
64	-24.907	11.743	2.3	0	0	0	0
65	-23.69	-10.112	2.258	0	0	0	0
66	-18.18	12.878	2.119	0	0	0	0
67	-18.68	-10.507	2.14	0	0	0	0
68	-11.835	9.074	1.859	0	0	0	0
69	-13.709	-11.091	2.005	0	0	0	0
70	-7.09	10.509	1.736	0	0	0	0
71	-8.714	-11.53	1.814	0	0	0	0
72	-2.057	11.094	1.524	0	0	0	0
73	1.252	-12.109	1.469	0	0	0	0
74	6.787	6.613	1.312	0	0	0	0
75	6.94	-9.575	1.326	0	0	0	0
76	10.992	9.266	1.097	0	0	0	0
77	12.893	-9.136	1.158	0	0	0	0
78	17.891	11.308	0.866	0	0	0	0
79	17.503	-11.051	0.933	0	0	0	0
80	23.116	10.741	0.714	0	0	0	0
81	24.871	-12.771	0.653	0	0	0	0
82	30.376	11.968	0.408	0	0	0	0
83	29.392	-10.945	0.542	0	0	0	0
84	36.01	13.301	0.275	0	0	0	0
85	34.357	-8.671	0.385	0	0	0	0
86	44.328	11.979	0.012	0	0	0	0
87	41.927	-10.996	0.181	0	0	0	0
