#0		1		2		3		4		5		6		7
#1		2		3		4		5		6		7		8
#STAND	POSX	POSY	POSZ	DLYB10	DLYB80	DLYG10	DLYG80
1	68.373	73.951	0.085	981.54	976.47	991.39	986.29
2	65.024	64.408	-0.163	950.39	945.27	952.26	947.16
3	75.004	60.716	0.387	939.22	934.49	949.59	944.60
4	63.474	46.162	-0.086	880.51	875.81	897.47	892.65
5	84.453	41.357	0.254	884.90	880.13	878.82	874.14
6	71.208	35.698	-0.006	832.06	829.43	836.84	834.30
7	91.764	34.662	0.245	866.04	861.66	870.41	865.90
8	71.631	30.328	-0.127	811.76	807.50	815.28	810.94
9	70.375	23.012	-0.260	776.75	774.35	774.03	771.60
10	61.346	20.829	-0.262	779.81	775.57	795.90	791.61
11	81.172	18.173	-0.196	784.50	780.05	789.45	784.81
12	80.350	11.649	-0.250	755.68	751.32	756.97	752.70
13	72.417	4.951	-0.401	708.93	705.25	710.20	706.56
14	60.545	4.759	-0.137	726.61	726.61	720.18	716.33
15	95.907	-0.693	-0.091	732.57	728.89	737.03	733.26
16	89.362	-1.077	-0.376	718.35	714.50	725.19	721.46
17	73.792	-7.228	-0.368	675.61	672.12	666.00	662.49
18	91.846	-8.420	-0.301	692.33	690.24	695.63	693.51
19	65.282	-15.421	-0.343	627.79	624.37	628.76	625.34
20	77.816	-17.474	-0.252	629.91	626.62	632.41	629.18
21	101.184	-21.737	0.386	677.08	673.59	660.48	657.01
22	67.104	-23.734	-0.377	596.61	593.58	587.59	584.61
23	85.665	-28.143	-0.053	598.18	595.17	602.61	599.49
24	62.030	-29.334	-0.424	575.81	572.90	581.81	578.72
25	92.429	-33.207	0.067	592.20	589.24	599.66	596.59
26	69.158	-35.947	-0.501	533.74	531.04	551.17	548.35
27	81.139	-36.183	-0.104	556.33	553.28	556.78	553.74
28	63.250	-44.621	-0.454	510.96	508.37	516.69	514.05
29	96.988	-50.699	-0.480	531.91	529.06	531.81	528.90
30	80.088	-53.229	-0.547	486.35	483.81	491.49	488.97
31	63.880	-55.876	-0.436	465.52	463.04	469.85	467.32
32	66.216	-70.036	-0.083	401.24	399.23	406.39	404.23
33	44.939	91.736	0.002	1.01	1.00	1.01	1.01
34	57.603	72.650	-0.310	954.28	949.20	949.83	944.76
