#0		1		2		3		4		5		6		7		8		9	10		11		12		13		14
#1		2		3		4		5		6		7		8	    9		10	11		12		13		14		15
#STAND	POSX	POSY	POSZ	DLYB10	DLYB80	DLYG10	DLYG80	ROACH	ADC	ADCIA	ADCIB	LEDAST	LEDAPA	LEDAPB
1	68.345	73.874	0	981.54	976.47	991.39	986.29	0	0	0	0	0	0	0
2	65.013	64.296	0	950.39	945.27	952.26	947.16	0	0	0	0	0	0	0
3	74.966	60.673	0	939.22	934.49	949.59	944.6	0	0	0	0	0	0	0
4	63.479	46.109	0	880.51	875.81	897.47	892.65	0	0	0	0	0	0	0
5	84.442	41.29	0	884.9	880.13	878.82	874.14	0	0	0	0	0	0	0
6	71.178	35.649	0	832.06	829.43	836.84	834.3	0	0	0	0	0	0	0
7	91.735	34.619	0	866.04	861.66	870.41	865.9	0	0	0	0	0	0	0
8	71.589	30.259	0	811.76	807.5	815.28	810.94	0	0	0	0	0	0	0
9	70.372	22.944	0	776.75	774.35	774.03	771.6	0	0	0	0	0	0	0
10	61.387	20.781	0	779.81	775.57	795.9	791.61	0	0	0	0	0	0	0
11	81.148	18.108	0	784.5	780.05	789.45	784.81	0	0	0	0	0	0	0
12	80.331	11.634	0	755.68	751.32	756.97	752.7	0	0	0	0	0	0	0
13	72.405	4.886	0	708.93	705.25	710.2	706.56	0	0	0	0	0	0	0
14	60.528	4.703	0	726.61	726.61	720.18	716.33	0	0	0	0	0	0	0
15	95.93	-0.733	0	732.57	728.89	737.03	733.26	0	0	0	0	0	0	0
16	89.373	-1.147	0	718.35	714.5	725.19	721.46	0	0	0	0	0	0	0
17	73.769	-7.281	0	675.61	672.12	666	662.49	0	0	0	0	0	0	0
18	91.817	-8.429	0	692.33	690.24	695.63	693.51	0	0	0	0	0	0	0
19	65.306	-15.478	0	627.79	624.37	628.76	625.34	0	0	0	0	0	0	0
20	77.799	-17.455	0	629.91	626.62	632.41	629.18	0	0	0	0	0	0	0
21	101.159	-21.778	0	677.08	673.59	660.48	657.01	0	0	0	0	0	0	0
22	67.107	-23.819	0	596.61	593.58	587.59	584.61	0	0	0	0	0	0	0
23	85.681	-28.21	0	598.18	595.17	602.61	599.49	0	0	0	0	0	0	0
24	62.032	-29.389	0	575.81	572.9	581.81	578.72	0	0	0	0	0	0	0
25	92.477	-33.28	0	592.2	589.24	599.66	596.59	0	0	0	0	0	0	0
26	69.142	-35.979	0	533.74	531.04	551.17	548.35	0	0	0	0	0	0	0
27	81.126	-36.253	0	556.33	553.28	556.78	553.74	0	0	0	0	0	0	0
28	63.235	-44.679	0	510.96	508.37	516.69	514.05	0	0	0	0	0	0	0
29	97.025	-50.699	0	531.91	529.06	531.81	528.9	0	0	0	0	0	0	0
30	80.111	-53.261	0	486.35	483.81	491.49	488.97	0	0	0	0	0	0	0
31	63.871	-55.914	0	465.52	463.04	469.85	467.32	0	0	0	0	0	0	0
32	66.206	-70.059	0	401.24	399.23	406.39	404.23	0	0	0	0	0	0	0
33	44.939	91.689	0	1.0064	1.0011	1.0143	1.0089	0	0	0	0	0	0	0
34	57.561	72.599	0	954.28	949.2	949.83	944.76	0	0	0	0	0	0	0
35	44.542	65.62	0	900.08	895.46	901.91	897.16	0	0	0	0	0	0	0
36	35.877	64.322	0	894.59	889.91	902.62	897.93	0	0	0	0	0	0	0
37	44.341	56.201	0	855.64	851.22	867.05	862.56	0	0	0	0	0	0	0
38	56.224	56.132	0	886.45	881.88	891.41	886.78	0	0	0	0	0	0	0
39	36.087	55.41	0	857.51	854.91	858.39	855.77	0	0	0	0	0	0	0
40	47.77	50.38	0	842.57	838.2	843.4	838.97	0	0	0	0	0	0	0
41	35.141	40.342	0	805.38	801.15	804.88	800.78	0	0	0	0	0	0	0
42	52.356	37.941	0	797.81	793.65	798.09	793.7	0	0	0	0	0	0	0
43	43.035	25.076	0	730.36	726.42	734.31	730.55	0	0	0	0	0	0	0
44	53.544	20.05	0	737.73	770.23	726.61	722.68	0	0	0	0	0	0	0
45	41.752	15.109	0	687.01	683.39	692.03	688.48	0	0	0	0	0	0	0
46	56.217	12.144	0	701.29	699.83	706.63	702.99	0	0	0	0	0	0	0
47	41.115	6.779	0	646.66	643.17	656.8	653.25	0	0	0	0	0	0	0
48	36.723	-2.345	0	624.7	621.49	623.3	620.1	0	0	0	0	0	0	0
49	43.577	-5.916	0	602.85	601.05	604.16	602.26	0	0	0	0	0	0	0
50	48.086	-8.185	0	601.85	598.71	606.68	603.4	0	0	0	0	0	0	0
51	37.765	-11.252	0	580.36	577.38	586.46	583.28	0	0	0	0	0	0	0
52	45.266	-12.452	0	578.56	575.55	584.88	581.81	0	0	0	0	0	0	0
53	45.048	-19.075	0	551.45	548.67	554.37	551.52	0	0	0	0	0	0	0
54	43.402	-27.123	0	516.82	513.98	516.78	513.95	0	0	0	0	0	0	0
55	47.541	-35.088	0	497.75	495.22	497.07	494.55	0	0	0	0	0	0	0
56	37.841	-35.192	0	483.36	481.82	487.38	485.86	0	0	0	0	0	0	0
57	43.036	-43.686	0	446.08	444.69	448.93	447.53	0	0	0	0	0	0	0
58	52.837	-49.309	0	448.69	445.9	449.82	446.98	0	0	0	0	0	0	0
59	42.431	-56.953	0	391.23	389.18	395.78	393.63	0	0	0	0	0	0	0
60	50.339	-62.318	0	390.19	388.15	388.56	386.52	0	0	0	0	0	0	0
61	35.761	-65.512	0	363.21	361.27	366.5	364.58	0	0	0	0	0	0	0
62	55.298	-73.553	0	351.35	349.61	354.8	352.99	0	0	0	0	0	0	0
63	40.39	-89.308	0	256.97	255.61	257.95	256.58	0	0	0	0	0	0	0
64	45.361	-89.861	0	263.04	261.72	266.3	264.93	0	0	0	0	0	0	0
65	29.14	98.371	0	982.97	978.04	994.28	989.19	0	0	0	0	0	0	0
66	32.178	88.744	0	953.71	948.94	955.54	950.58	0	0	0	0	0	0	0
67	24.541	82.798	0	909.67	905.02	921.3	916.47	0	0	0	0	0	0	0
68	30.75	76.158	0	894.68	890.06	902.34	897.63	0	0	0	0	0	0	0
69	27.821	66.252	0	848.67	846.21	852.59	850.3	0	0	0	0	0	0	0
70	17.175	53.748	0	799.81	795.49	799.52	795.28	0	0	0	0	0	0	0
71	26.903	34.234	0	722.14	717.97	721.97	717.69	0	0	0	0	0	0	0
72	17.182	30.588	0	695.83	693.72	700.47	698.25	0	0	0	0	0	0	0
73	30.956	28.8	0	706.34	702.65	711.16	707.53	0	0	0	0	0	0	0
74	33.485	19.496	0	676.41	672.79	665.97	662.28	0	0	0	0	0	0	0
75	21.593	17.72	0	639.88	636.67	645.4	642.1	0	0	0	0	0	0	0
76	20.171	9.225	0	600.97	599.06	604.01	602.12	0	0	0	0	0	0	0
